epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,330.174,3.79074,28.0104,0.91467,0.00052,0.18824,0.00043,0.00015,4.16013,10.5821,0.87724,0.000657895,0.000657895,0.000657895
2,406.056,4.04582,16.2594,0.89809,0.1547,0.09412,0.04752,0.01204,4.39353,8.19461,0.97385,0.00119343,0.00119343,0.00119343
3,466.333,3.95018,12.0643,0.90564,0.21073,0.12941,0.06266,0.01407,4.43479,6.21429,0.91554,0.00159696,0.00159696,0.00159696
4,528.865,3.65463,9.07834,0.87384,0.26515,0.23529,0.12773,0.03485,4.2058,4.61339,0.9452,0.001406,0.001406,0.001406
5,592.601,3.62898,7.11509,0.84325,0.34472,0.25882,0.13394,0.02689,4.13206,3.96939,0.91686,0.001208,0.001208,0.001208
6,652.45,3.58722,5.98481,0.83765,0.27013,0.21176,0.0885,0.01941,4.0131,4.08486,0.89892,0.00101,0.00101,0.00101
7,711.119,3.4086,4.98964,0.81119,0.37223,0.24706,0.14152,0.03378,3.99786,3.62782,0.86262,0.000812,0.000812,0.000812
8,767.21,3.18572,4.28688,0.82073,0.30008,0.29412,0.14072,0.02743,3.91697,3.67116,0.86498,0.000614,0.000614,0.000614
9,823.133,3.1112,3.67768,0.80919,0.38887,0.27703,0.18184,0.04241,3.67849,3.56804,0.85229,0.000416,0.000416,0.000416
10,883.174,3.03536,3.5734,0.79379,0.49057,0.31765,0.22393,0.05718,3.69906,3.18331,0.85223,0.000218,0.000218,0.000218
