epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,94.5875,2.13429,6.71596,1.54583,0.19246,0.31763,0.07059,0.03748,0.00411,1.73124,3.94123,1.29732,0.242,0.000657895,0.000657895,0.000657895
2,165.853,1.25007,2.43719,1.38538,0.10427,0.18263,0.04706,0.02459,0.00458,1.51502,2.55045,1.3828,0.24144,0.001259,0.001259,0.001259
3,234.683,1.14562,1.69268,1.37843,0.08531,0.16498,0.07059,0.03293,0.00545,1.4071,2.10949,1.36849,0.23477,0.0017941,0.0017941,0.0017941
4,301.248,1.05078,1.31065,1.34974,0.09075,0.14305,0.08235,0.05161,0.00907,1.32816,1.9757,1.4097,0.22173,0.001703,0.001703,0.001703
5,368.283,0.98949,1.23347,1.34615,0.07529,0.15078,0.08235,0.07716,0.01501,1.31995,1.86198,1.41805,0.22311,0.001604,0.001604,0.001604
6,437.556,0.89862,1.03768,1.32176,0.06889,0.13627,0.08235,0.03655,0.00606,1.29264,1.65059,1.38037,0.2315,0.001505,0.001505,0.001505
7,503.718,0.94477,0.98754,1.34319,0.09669,0.14779,0.08235,0.06831,0.01185,1.31179,1.94702,1.36979,0.21177,0.001406,0.001406,0.001406
8,572.335,0.89439,0.97281,1.32949,0.06979,0.16284,0.08235,0.04233,0.00661,1.35131,1.75501,1.36314,0.20315,0.001307,0.001307,0.001307
9,643.012,0.89834,0.88778,1.33496,0.07918,0.15249,0.08235,0.05868,0.00955,1.29517,1.84627,1.32589,0.205,0.001208,0.001208,0.001208
10,715.935,0.84649,0.86714,1.3063,0.06891,0.14786,0.08235,0.05755,0.00922,1.28498,1.7858,1.33796,0.20728,0.001109,0.001109,0.001109
11,965.742,0.96307,0.89787,1.30216,0.08249,0.18288,0.08235,0.08471,0.01428,1.25118,1.80669,1.33849,0.21809,0.00101,0.00101,0.00101
12,1035.11,0.8624,0.86189,1.31598,0.09644,0.19361,0.09412,0.06742,0.01135,1.25296,1.63002,1.33237,0.19979,0.000911,0.000911,0.000911
13,1104.43,0.86772,0.86163,1.31594,0.09521,0.17639,0.08235,0.07066,0.0131,1.22299,1.61245,1.33161,0.19601,0.000812,0.000812,0.000812
14,1171.19,0.8671,0.85464,1.29017,0.09577,0.17679,0.08235,0.06273,0.01032,1.25754,1.48547,1.32943,0.19124,0.000713,0.000713,0.000713
15,1239.53,0.87213,0.81222,1.28717,0.08422,0.18006,0.08235,0.05693,0.00964,1.22787,1.54693,1.32289,0.19889,0.000614,0.000614,0.000614
16,1308.86,0.86219,0.80659,1.29258,0.07964,0.16458,0.08235,0.05123,0.00833,1.16907,1.57217,1.32926,0.19798,0.000515,0.000515,0.000515
17,1376.41,0.80658,0.75639,1.30692,0.08515,0.16014,0.08235,0.06735,0.01134,1.22298,1.76878,1.32298,0.19596,0.000416,0.000416,0.000416
18,1443.23,0.81815,0.84795,1.2874,0.08023,0.19193,0.08235,0.054,0.00993,1.18318,1.57536,1.32395,0.18923,0.000317,0.000317,0.000317
19,1515.42,0.80715,0.7516,1.30452,0.07196,0.15057,0.07059,0.04753,0.00873,1.17895,1.56167,1.32441,0.20133,0.000218,0.000218,0.000218
20,1605.75,0.77863,0.76307,1.28981,0.08181,0.19411,0.08235,0.06518,0.0105,1.14651,1.50034,1.31995,0.19698,0.000119,0.000119,0.000119
